,SMILES,pIGC50
sample_1,c1ccccc1,-0.12
sample_2,Cc1ccc(C)cc1,0.25
sample_3,Cc1ccccc1,0.25
sample_4,CCCCc1ccccc1,1.25
sample_5,CCCCCc1ccccc1,1.79
sample_6,NCc1ccccc1,-0.24
sample_7,CC(C)c1ccccc1,0.69
sample_8,OCCCCCc1ccccc1,0.42
sample_9,CC(C)(O)CCc1ccccc1,-0.07
sample_10,OCCCc1ccccc1,-0.21
sample_11,OCc1ccccc1,-0.83
sample_12,CC(O)c1ccccc1,-0.66
sample_13,CCc1ccc(CO)cc1,0.07
sample_14,CCCC(O)c1ccccc1,-0.01
sample_15,OCc1ccc(-c2ccccc2)cc1,0.92
sample_16,CCc1ccc(-c2ccccc2)cc1,1.97
sample_17,c1ccc(-c2ccccc2)cc1,1.05
sample_18,CC(O)(Cc1ccccc1)c1ccccc1,0.8
sample_19,CC(O)C(c1ccccc1)c1ccccc1,0.75
sample_20,Cc1ccc(N)cc1C,-0.16
sample_21,Nc1cccc(CO)c1,-1.13
sample_22,CCCCOc1ccc(N)cc1,0.61
sample_23,Cc1ccc(N)cc1,-0.05
sample_24,CCc1cccc(N)c1,-0.03
sample_25,CCc1ccc(N)cc1,0.03
sample_26,Cc1cccc(N)c1,-0.28
sample_27,CC(C)c1cccc(C(C)C)c1N,0.76
sample_28,CCc1ccccc1N,-0.22
sample_29,CCc1cccc(CC)c1N,0.31
sample_30,COc1ccc(O)cc1,-0.14
sample_31,Cc1cc(O)cc(C)c1C,0.93
sample_32,ClCc1ccccc1,0.06
sample_33,COc1ccc(C)cc1,0.25
sample_34,CC(C)(C)c1ccc(O)cc1,0.91
sample_35,COc1ccccc1,-0.1
sample_36,CCc1ccc(O)cc1,0.21
sample_37,CCc1cccc(O)c1,0.29
sample_38,Cc1ccccc1O,-0.29
sample_39,CCc1ccccc1O,0.16
sample_40,Oc1ccccc1,-0.35
sample_41,C=CCc1ccccc1O,0.33
sample_42,Ic1ccccc1,0.36
sample_43,Nc1ccc(Cl)cc1,0.05
sample_44,OCCc1ccc(O)cc1,-0.83
sample_45,Cc1ccc(N)c(Cl)c1,0.18
sample_46,CCCCCc1cc(O)cc(O)c1,1.31
sample_47,COc1cccc(O)c1,-0.33
sample_48,CCCCCCc1ccc(O)cc1O,1.8
sample_49,Cc1ccc(Br)cc1,0.47
sample_50,COc1ccc(Cl)cc1,0.6
sample_51,Oc1cccc(O)c1,-0.65
sample_52,Brc1ccccc1,0.08
sample_53,Oc1ccc(I)cc1,0.85
sample_54,NCCc1ccc(Cl)cc1,0.14
sample_55,NCc1ccc(Cl)cc1,0.16
sample_56,Nc1ccc(Cl)cc1Cl,0.56
sample_57,Nc1cccc(Cl)c1,0.22
sample_58,CCCCCOc1ccc(C=O)cc1,1.18
sample_59,Cc1ccc([N+](=O)[O-])cc1,0.65
sample_60,CC(C)c1ccc(C=O)cc1,0.67
sample_61,Cc1cccc([N+](=O)[O-])c1C,0.56
sample_62,Oc1cccc(Cl)c1,0.87
sample_63,Cc1cccc([N+](=O)[O-])c1,0.42
sample_64,Cc1ccccc1[N+](=O)[O-],0.26
sample_65,Brc1ccc(Br)cc1,0.68
sample_66,O=Cc1ccccc1,-0.2
sample_67,COc1cc(C=O)ccc1O,-0.03
sample_68,Oc1ccc(Cl)cc1Cl,1.04
sample_69,CCCCC(=O)c1ccccc1,0.56
sample_70,CCCC(=O)c1ccccc1,0.21
sample_71,CCCCCCC(=O)c1ccccc1,1.56
sample_72,CC(=O)c1ccccc1,-0.46
sample_73,O=[N+]([O-])c1ccccc1,0.14
sample_74,CCCCCCCC(=O)c1ccccc1,1.89
sample_75,Nc1cccc([N+](=O)[O-])c1,0.03
sample_76,Nc1cc(Cl)cc(Cl)c1,0.71
sample_77,Cc1cc(Br)cc(Cl)c1O,1.28
sample_78,O=C(c1ccccc1)c1ccccc1,0.87
sample_79,O=[N+]([O-])c1ccc(CCl)cc1,1.18
sample_80,COc1ccc(C(C)=O)c(O)c1,0.55
sample_81,Oc1cc(Cl)cc(Cl)c1,1.56
sample_82,O=Cc1ccc(Cl)cc1,0.4
sample_83,Clc1cc(Cl)cc(Cl)c1,0.87
sample_84,Nc1cc(Cl)c(Cl)cc1Cl,1.3
sample_85,O=C(c1ccccc1)c1ccc(Br)cc1,1.26
sample_86,Oc1c(Cl)cc(Cl)cc1Cl,1.41
sample_87,COc1cc(C=O)cc(Br)c1O,0.62
sample_88,CCOc1ccc([N+](=O)[O-])cc1,0.83
sample_89,Cc1ccc(Cl)cc1[N+](=O)[O-],0.82
sample_90,Oc1c(Cl)cc(Br)cc1Cl,1.78
sample_91,Cc1c(Cl)cccc1[N+](=O)[O-],0.68
sample_92,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,1.76
sample_93,N#Cc1cccc([N+](=O)[O-])c1,0.45
sample_94,Oc1cc(Cl)c(Cl)cc1Cl,2.1
sample_95,Clc1cc(Cl)c(Cl)cc1Cl,2
sample_96,O=[N+]([O-])c1cccc(Cl)c1,0.73
sample_97,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,1.96
sample_98,Oc1c(Br)cc(Br)cc1Br,1.91
sample_99,Cc1cc([N+](=O)[O-])ccc1Br,1.16
sample_100,O=Cc1cc(O)ccc1[N+](=O)[O-],0.33
sample_101,Cc1c(O)c(Br)c(Br)c(Br)c1Br,2.57
sample_102,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.18
sample_103,Nc1c(F)c(F)c(F)c(F)c1F,0.26
sample_104,O=Cc1cc(Br)cc(Br)c1O,1.65
sample_105,O=[N+]([O-])c1cc(Cl)cc(Cl)c1,1.13
sample_106,O=[N+]([O-])c1cc(O)ccc1Cl,1.27
sample_107,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,2.72
sample_108,NC(=S)c1ccccc1,0.09
sample_109,Nc1ccc(F)c(C(F)(F)F)c1,0.77
sample_110,O=[N+]([O-])c1ccccc1Cl,0.68
sample_111,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.76
sample_112,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.87
sample_113,Nc1cc(Cl)c(Cl)cc1[N+](=O)[O-],1.66
sample_114,Oc1c(F)c(F)c(F)c(F)c1F,1.63
sample_115,O=[N+]([O-])c1ccc(F)c(Cl)c1,0.8
sample_116,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1.16
sample_117,O=[N+]([O-])c1cc(Cl)ccc1Cl,1.13
sample_118,O=[N+]([O-])c1ccc(Cl)cc1Cl,0.99
sample_119,S=C=Nc1ccccc1,1.41
sample_120,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,1.65
sample_121,O=[N+]([O-])c1cc(I)c(O)c(I)c1,1.81
sample_122,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,1.75
sample_123,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,1.51
sample_124,O=Cc1c(F)c(F)c(F)c(F)c1F,0.82
sample_125,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1,2.12
sample_126,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.72
sample_127,O=[N+]([O-])c1ccc(F)c(F)c1F,1.89
sample_128,O=[N+]([O-])c1cc(Cl)c(Cl)cc1[N+](=O)[O-],2.21
sample_129,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.73
sample_130,CC(C)(C)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.8
sample_131,O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,2.31
sample_132,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.06
sample_133,O=[N+]([O-])c1cc(Cl)cc(Cl)c1[N+](=O)[O-],2.42
sample_134,O=[N+]([O-])c1c(F)cc(F)c(F)c1F,1.87
sample_135,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,0.83
sample_136,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,2.16
sample_137,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,1.71
sample_138,O=[N+]([O-])c1c(F)c(F)c(F)c(F)c1F,2.43
sample_139,O=[N+]([O-])c1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,2.82
sample_140,O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,2.08
sample_141,O=[N+]([O-])c1cc(Cl)c(Cl)c([N+](=O)[O-])c1Cl,2.6
sample_142,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,2.19
sample_143,N#Cc1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,2.66
sample_144,Cc1ccc(CO)cc1,-0.49
sample_145,CCCC(O)Cc1ccccc1,0.16
sample_146,Cc1ccc(CCN)cc1,-0.04
sample_147,Cc1ccc(CN)cc1,-0.01
sample_148,OCC=Cc1ccccc1,-0.08
sample_149,CC(C)(C)c1ccc(CO)cc1,0.48
sample_150,Cc1ccc(CCO)cc1,-0.26
sample_151,Cc1ccccc1CO,-0.43
sample_152,CCC(O)c1ccccc1,-0.43
sample_153,CC(CO)c1ccccc1,-0.4
sample_154,CC(C)(O)c1ccccc1,-0.57
sample_155,OC(c1ccccc1)c1ccccc1,0.5
sample_156,ON=Cc1ccccc1,-0.11
sample_157,CC(C)(C)c1ccc(N)cc1,0.36
sample_158,Cc1ccc(N)c(C)c1,-0.29
sample_159,CCC(C)c1ccc(N)cc1,0.61
sample_160,Cc1cccc(N)c1C,-0.43
sample_161,N#CCc1ccccc1,-0.36
sample_162,CC(C#N)c1ccccc1,0.01
sample_163,CCNc1ccccc1,0.07
sample_164,CNc1ccccc1,0.06
sample_165,CC(C)(C)c1ccc(O)c(N)c1,0.37
sample_166,COc1ccccc1N,-0.69
sample_167,c1ccc(-c2cccnc2)cc1,0.47
sample_168,Nc1ccccc1CO,-1.07
sample_169,c1ccc(Cc2ccccn2)cc1,0.38
sample_170,c1ccc(Cc2ccncc2)cc1,0.63
sample_171,Cc1ccc(O)cc1C,0.12
sample_172,CC(C)(C)c1cccc(O)c1,0.74
sample_173,Cc1cc(C)c(O)c(C(C)(C)C)c1,1.16
sample_174,CC(C)c1ccc(O)cc1,0.47
sample_175,CC(C)c1cccc(O)c1,0.61
sample_176,Cc1cccc(O)c1C,0.12
sample_177,CC(C)c1ccccc1O,0.61
sample_178,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,-0.52
sample_179,Nc1ccccc1F,-0.37
sample_180,N#CCc1ccc(N)cc1,-0.76
sample_181,N#CC=Cc1ccccc1,0.16
sample_182,OCc1cccc(F)c1,-0.39
sample_183,N#Cc1cccc(N)c1,-0.47
sample_184,Nc1cccc(F)c1,-0.1
sample_185,CCc1cc(O)ccc1Cl,1.08
sample_186,Cc1cc(O)c(Cl)cc1C,0.69
sample_187,COc1cc(O)cc(OC)c1,-0.09
sample_188,N#CCc1ccc(O)cc1,-0.38
sample_189,Cc1cc(Br)cc(C)c1O,1.16
sample_190,Cc1ccc(Cl)c(O)c1,0.54
sample_191,Oc1ccc(Br)cc1,0.68
sample_192,OCCc1ccc(Cl)cc1,0.32
sample_193,OCc1ccc(Cl)cc1,0.25
sample_194,Cc1cc(C)c([N+](=O)[O-])c(C)c1,0.86
sample_195,OCc1cccc(Cl)c1,0.15
sample_196,Oc1ccccc1Br,0.33
sample_197,COc1cc(C#N)ccc1O,-0.03
sample_198,O=[N+]([O-])c1cccc(CO)c1,-0.22
sample_199,COc1ccc(C#N)cc1,0.1
sample_200,CC(=O)c1cc(C)c(C)cc1O,0.71
sample_201,COc1ccccc1C=O,0.15
sample_202,CNc1ccc(C(=O)OC)cc1,0.31
sample_203,O=Cc1ccc(Oc2ccccc2)cc1,1.26
sample_204,COc1cc(OC)c(OC)cc1C=O,-0.1
sample_205,Nc1ccc(C(=O)c2ccccc2)cc1,0.68
sample_206,CCCOC(=O)C=Cc1ccccc1,1.23
sample_207,CCOC(=O)C=Cc1ccccc1,0.99
sample_208,CCCCCC(=O)c1ccccc1,1.19
sample_209,CCCCOC(=O)C=Cc1ccccc1,1.53
sample_210,N#CCc1ccc(Cl)cc1,0.66
sample_211,COC(=O)C=Cc1ccccc1,0.58
sample_212,CCOC(=O)c1ccc(OC)cc1,0.77
sample_213,NNC(=O)Cc1ccccc1,-0.48
sample_214,Oc1c(Cl)cccc1Cl,0.73
sample_215,CC(C)CCOC(=O)c1ccc(O)cc1,1.48
sample_216,O=C(Cc1ccccc1)c1ccc(O)cc1,1.07
sample_217,O=C(OCc1ccccc1)c1ccccc1,1.45
sample_218,O=C(c1ccccc1)c1ccc(O)cc1,1.02
sample_219,Cc1ccc([N+](=O)[O-])cc1O,0.66
sample_220,NC(=O)c1cc(Cl)ccc1O,0.59
sample_221,O=[N+]([O-])c1cccc(O)c1,0.51
sample_222,O=Cc1cccc(C=O)c1,0.18
sample_223,CC(=O)c1ccc(O)cc1O,0.25
sample_224,O=C(c1ccccc1)c1cccc(Cl)c1,1.55
sample_225,O=C(Oc1ccccc1)c1ccccc1,1.35
sample_226,N#CC(C#N)=Cc1ccccc1,0.64
sample_227,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,1.58
sample_228,CCOC(=O)C(C#N)c1ccccc1,-0.02
sample_229,COc1ccccc1[N+](=O)[O-],-0.07
sample_230,Cc1cccc(O)c1[N+](=O)[O-],0.61
sample_231,NC(=O)c1ccccc1[N+](=O)[O-],-0.72
sample_232,O=Cc1ccccc1[N+](=O)[O-],0.17
sample_233,Cc1ccc(O)c([N+](=O)[O-])c1,0.57
sample_234,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,0.96
sample_235,O=Cc1ccc([N+](=O)[O-])cc1,0.2
sample_236,Cc1ccc([N+](=O)[O-])c(O)c1,0.59
sample_237,O=Cc1cc(Cl)cc(Cl)c1O,1.55
sample_238,O=[N+]([O-])c1cccnc1SCc1ccccc1,1.72
sample_239,CCOC(=O)c1ccc([N+](=O)[O-])cc1,0.71
sample_240,O=Cc1ccc(Cl)cc1Cl,1.04
sample_241,Oc1ccc(C(F)(F)F)cc1,0.62
sample_242,CC(=S)Nc1ccccc1,-0.01
sample_243,OCc1c(F)c(F)c(F)c(F)c1F,-0.2
sample_244,Nc1ccc(F)cc1C(F)(F)F,-0.02
sample_245,O=[N+]([O-])c1cc(Br)ccc1Br,1.37
sample_246,N#CC(=O)c1ccccc1,0.31
sample_247,O=[N+]([O-])c1cc(F)ccc1F,0.33
sample_248,Nc1c(Br)cc(Br)cc1[N+](=O)[O-],1.62
sample_249,O=Cc1ccc(O)c([N+](=O)[O-])c1,0.61
sample_250,O=C(N=C=S)c1ccccc1,0.1
sample_251,CO,-2.67
sample_252,CCO,-1.99
sample_253,CCC(C)O,-1.54
sample_254,CCCCCO,-1.03
sample_255,CCCC(C)O,-1.16
sample_256,CCC(O)CC,-1.24
sample_257,CC(C)C(C)O,-1
sample_258,CCC(C)CO,-0.95
sample_259,CC(C)(C)CO,-0.87
sample_260,CCCCOCCO,-1.37
sample_261,CCCCCCO,-0.38
sample_262,CC(C)(C)CCO,-0.74
sample_263,CC(C)C(O)C(C)C,-0.71
sample_264,CCCCCCCCO,0.58
sample_265,CCCCCCC(C)O,0
sample_266,CCCCCC(O)CC,0.03
sample_267,CCCCC(CC)CO,0.17
sample_268,CCCCCCCCCO,0.84
sample_269,CCCCCCCC(C)O,0.62
sample_270,CCC(O)(CC)C(C)(C)C,-0.17
sample_271,CCCCCCCCCCCO,1.95
sample_272,CCCCCCCCCCCCO,2.16
sample_273,OC1CCCCC1,-0.77
sample_274,CCCC(O)CO,-1.63
sample_275,OCCCCCO,-1.93
sample_276,CC(O)CC(C)(C)O,-1.95
sample_277,CCCCC(O)CO,-1.27
sample_278,OCCCCCCO,-1.49
sample_279,CC(O)CCC(C)O,-1.96
sample_280,CCCCCCCCC(O)CO,0.76
sample_281,OCCCCCCCCCCO,0.22
sample_282,C=CCCO,-1.7
sample_283,C=C(C)CCO,-1.18
sample_284,C=CC(C)(C)O,-1.39
sample_285,C=CCCCO,-1.22
sample_286,C=CCC(C)O,-1.52
sample_287,C#CCCCO,-1.42
sample_288,C#CC(C)(C)O,-1.31
sample_289,CCC=CCCO,-0.78
sample_290,C#CCCCCO,-1.29
sample_291,C#CC(C)(O)CC,-1.32
sample_292,CC#CC(C)(O)CCC,-0.43
sample_293,CC=CCCCO,-0.75
sample_294,C=CCCCCO,-0.84
sample_295,CCC#CCCO,-1.02
sample_296,CCCC#CCCO,-0.32
sample_297,CCCC#CCC(O)CC,-0.04
sample_298,CCCCCCC#CCCO,1.13
sample_299,C=CCO,-1.92
sample_300,C=C(C)CO,-1.66
sample_301,C=CC(C)O,-1.05
sample_302,OCC=CCO,-2.15
sample_303,CC(C)=CCO,-1.24
sample_304,CCC=CCO,-1.11
sample_305,CC=CC(C)O,-1.4
sample_306,C=CC(O)CC,-1.35
sample_307,C=CC(O)CCC,-0.81
sample_308,CCCCCCC=CCO,0.77
sample_309,CCCCCCCCC=CCO,1.61
sample_310,CCCCCCCCCC=CCO,2.09
sample_311,COC(C)=O,-1.6
sample_312,CCCOC(C)=O,-1.24
sample_313,CC(=O)OC(C)C,-1.59
sample_314,CCC(C)OC(C)=O,-0.68
sample_315,CCCCCOC(C)=O,0.16
sample_316,CCC(CC)COC(C)=O,-0.12
sample_317,CCCCCCCCOC(C)=O,1.06
sample_318,CCCCOC(=O)CC,0.17
sample_319,CCC(=O)OCC(C)C,-0.69
sample_320,CCCOC(=O)CC,-0.81
sample_321,CCC(=O)OC(C)(C)C,-0.41
sample_322,CCCC(=O)OCC,-0.49
sample_323,CCOC(=O)C(C)CC,-0.89
sample_324,CCCCC(=O)OCC,-0.36
sample_325,CCOC(=O)CC(C)C,-0.72
sample_326,CCCOC(=O)CCC,-0.41
sample_327,CCCCOC(=O)CCC,0.52
sample_328,CCCCCOC(=O)CC,-0.04
sample_329,CC(C)COC(=O)C(C)C,-0.59
sample_330,CCCCCC(=O)OCC,0.06
sample_331,CCC(=O)OC,-1.61
sample_332,CCCC(=O)OC,-1.25
sample_333,CCCCC(=O)OC,-0.84
sample_334,CCC(C)C(=O)OC,-1.17
sample_335,CCCCCC(=O)OC,-0.56
sample_336,CCCCCCC(=O)OC,0.1
sample_337,CCCCCCCC(=O)OC,0.54
sample_338,CCCCCCCCC(=O)OC,1.04
sample_339,CCCCCCCCCC(=O)OC,1.38
sample_340,CCCCCCCCCCC(=O)OC,1.42
sample_341,COC=O,-1.5
sample_342,CCCCOC=O,-0.93
sample_343,CC(C)(C)OC=O,-1.37
sample_344,CCCCCOC=O,-0.78
sample_345,C=CCOC(=O)CC,-0.88
sample_346,C=CCOC(=O)CCCCCC,0.73
sample_347,C=C(C)OC(C)=O,-0.49
sample_348,C=COC(C)=O,-0.86
sample_349,C=COC(=O)C(CC)CCCC,1.05
sample_350,C#CCOC(=O)CC,-0.66
sample_351,C=COC(=O)CC,-0.65
sample_352,C=COC(=O)CCC,-0.38
sample_353,CC#CCOC(C)=O,-0.88
sample_354,CC(=O)C(C)C,-1.17
sample_355,CC(=O)CC(C)C,-1.21
sample_356,O=C1CCCCC1,-1.23
sample_357,CC(=O)C(C)(C)C,-1.44
sample_358,CCCCCC(C)=O,-0.49
sample_359,CCCC(=O)CCC,-0.67
sample_360,CCCCCCC(C)=O,-0.15
sample_361,CCCCC(=O)CCCC,0.07
sample_362,CCCCCCCCC(C)=O,0.58
sample_363,CCCCCCCC(=O)CC,0.63
sample_364,CCCCCCCCCC(C)=O,1.53
sample_365,CCCCCCCCCCC(C)=O,1.67
sample_366,CCCCCCC(=O)CCCCCC,1.52
sample_367,C=CCCC(C)=O,-1.14
sample_368,C=C(C)CCC(C)=O,-0.87
sample_369,CC(=O)CCC=C(C)C,-0.45
sample_370,CCC#N,-1.97
sample_371,CCCC#N,-1.44
sample_372,CCCCC#N,-1.01
sample_373,CC(C)CC#N,-0.88
sample_374,CCCCCC#N,-0.38
sample_375,CC(C)CCC#N,-0.79
sample_376,CCCCCCCCC#N,0.62
sample_377,CCCCCCCCCCC#N,1.65
sample_378,CCCCBr,-0.18
sample_379,CCCCCBr,0.48
sample_380,CCCCCCCCBr,1.87
sample_381,CCCCC(Br)CBr,1.15
sample_382,BrCCCCCCBr,1.05
sample_383,CCC(Br)C(Br)CC,1
sample_384,CCCSCCC,0
sample_385,CCCCSCCCC,1.04
sample_386,CCCCCCCS,1.02
sample_387,SC1CCCCC1,0
sample_388,CS(C)=O,-2.45
sample_389,CCCCS(=O)CCCC,-0.26
sample_390,CCCOS(=O)OCCC,0.09
sample_391,CCOS(=O)(=O)OCC,-0.7
sample_392,CCCCOS(=O)(=O)OCCCC,0.62
sample_393,CC(C)=NO,-1.25
sample_394,CCCCCC(C)=NO,0.1
sample_395,COC(N)=O,-1.97
sample_396,CCOC(N)=O,-1.65
sample_397,CCCCOC(N)=O,-0.97
sample_398,CCOC(=O)CCCCCCCCC(=O)OCC,1.35
sample_399,CCOC(=O)CCCCCCC(=O)OCC,0.7
sample_400,CCOC(=O)CCC(=O)OCC,-0.85
sample_401,COC(=O)CC(=O)OC,-1.29
sample_402,CCCCOC(=O)CCCCC(=O)OCCCC,0.79
sample_403,COC(=O)CCCCCCCCCCCC(=O)OC,1.65
sample_404,COC(=O)CCCCCCC(=O)OC,0.3
sample_405,COC(=O)CCCC(=O)OC,-1.17
sample_406,CCCCC(C(=O)OCC)C(=O)OCC,0.56
