,SMILES,pIGC50
sample_407,CCOC(=O)C(CC)C(=O)OCC,-0.24
sample_408,CCOC(=O)CC(=O)C(C)(C)C(=O)OCC,-0.38
sample_409,CCOC(=O)CCC(=O)CCC(=O)OCC,-0.64
sample_410,CCCC(C(=O)OCC)C(=O)OCC,0.13
sample_411,CCOC(=O)C(NC(C)=O)C(=O)OCC,-1.2
sample_412,C=CCC(C(=O)OCC)C(=O)OCC,-0.06
sample_413,CCCCOC(=O)CCC(=O)OCCCC,0.51
sample_414,CCC(=O)O,-1.45
sample_415,CCCC(=O)O,-1.37
sample_416,CCCCCCCC(=O)O,0
sample_417,O=C(O)CCC(=O)O,-1.65
sample_418,CC(C)C=O,-0.43
sample_419,CCCCC=O,-0.02
sample_420,CCC(C)C=O,-0.31
sample_421,CCCC(C)C=O,-0.47
sample_422,CC(C)(C)CC=O,-0.37
sample_423,CCCCCCCC=O,0.48
sample_424,CCCCC(C=O)CC,0.16
sample_425,CCCCCCCCCCC=O,1.69
sample_426,CCCCCCCCCCCC=O,1.76
sample_427,O=C1CCO1,-0.13
sample_428,O=C1CCCO1,-1.72
sample_429,CC1CC(=O)O1,-0.76
sample_430,CCC1CCC(=O)O1,-1.24
sample_431,O=C1CCCCCO1,-1.26
sample_432,CCCCCC1CCC(=O)O1,0.01
sample_433,CCCCCCC1CCC(=O)O1,0.49
sample_434,CC#CCO,-0.87
sample_435,C#CC(C)O,-0.4
sample_436,CCC#CCO,-0.57
sample_437,C#CC=CCO,-0.55
sample_438,C#CC(O)CCC,0.66
sample_439,CCC#CC(C)O,0.51
sample_440,CC(O)C#CC(C)O,-0.46
sample_441,C#CC(O)CCCC,-0.27
sample_442,CCCCC#CCO,-0.19
sample_443,CCCCCCC#CCO,0.65
sample_444,CCCCCCCC#CCO,0.99
sample_445,CCCCCCCCCCC#CCO,2.37
sample_446,C#CC(O)C(C)C,-0.03
sample_447,C#CC(O)CC(C)C,0.62
sample_448,C#CC(O)C(C)CCC,0.74
sample_449,OCCCl,-1.42
sample_450,CC(O)CCl,-1.49
sample_451,OCC(Cl)(Cl)Cl,-0.46
sample_452,OCCCCCCCl,-0.27
sample_453,OCCCCCCBr,0.01
sample_454,OCCCCCCCCBr,1.04
sample_455,CC(C)(CO)CBr,-0.46
sample_456,CC(O)CBr,-1.19
sample_457,OCC(Br)CBr,-0.49
sample_458,CC(=O)OCCCCBr,0.39
sample_459,CC(=O)OCCCCCCl,-0.13
sample_460,COC(=O)CCCCBr,-0.08
sample_461,CCOC(=O)CCCCBr,0.22
sample_462,CCOC(=O)CCCCCBr,0.59
sample_463,CCOC(=O)CCCl,-0.5
sample_464,CCOC(=O)CCCCl,-0.28
sample_465,N#CCCCCBr,-0.21
sample_466,N#CCCCCCCBr,0.51
sample_467,N#CCCCl,-1
sample_468,O=C(O)CCCBr,-0.77
sample_469,O=C(O)CCBr,-0.04
sample_470,O=C(O)CCCCl,-0.68
sample_471,O=C(O)CCCl,-0.33
sample_472,O=C(O)CCCCCl,-0.29
sample_473,CC(C)C(Br)C(=O)O,-0.55
sample_474,CCCCC(Br)C(=O)O,0.45
sample_475,CC(=O)NN,-1.38
sample_476,CCCC(=O)NN,-0.97
sample_477,NNC(=O)CCCCC(=O)NN,-1.37
sample_478,NNC=O,-0.87
sample_479,N#CCCCCC#N,-1.54
sample_480,CC(=O)CC(C)=O,-0.27
sample_481,O=C1CCC(=O)CC1,-1.67
sample_482,CCC(=O)CC(=O)CC,-0.38
sample_483,CCCCC(=O)CC(C)=O,0.13
sample_484,CCCCCC(=O)CC(C)=O,0.51
sample_485,NCCO,-1.39
sample_486,NCCCO,-1.69
sample_487,CNCCO,-1.82
sample_488,CCNCCO,-1.65
sample_489,CC(C)(N)CO,-1.93
sample_490,CCCC(N)CO,-0.67
sample_491,CC(C)(CN)CO,-0.92
sample_492,NCCCCCCO,-0.96
sample_493,CCCCC(N)CO,-0.58
sample_494,CC(C)C(N)CO,-0.59
sample_495,CC(C)(C)C(N)CO,-0.72
sample_496,CCC(C)C(N)CO,-0.66
sample_497,CC(C)CC(N)CO,-0.62
sample_498,CC(C)(C)NCCO,-1.67
sample_499,NCC(O)CO,-1.81
sample_500,CN(CCO)CCO,-1.83
sample_501,OCCN(CCO)CCO,-1.75
sample_502,CCCN,-0.71
sample_503,CCCCN,-0.57
sample_504,CCCNC,-0.81
sample_505,CCCCCCCN,0.21
sample_506,CCCCCCCCN,0.35
sample_507,CCCCCCCCCN,1.7
sample_508,CCCCCCCCCCN,2.06
sample_509,CCCCCCCCCCCN,2.33
sample_510,CC(C)N,-0.86
sample_511,CCC(C)N,-0.67
sample_512,CCCC(C)N,-0.68
sample_513,CCC(N)CC,-0.81
sample_514,CCC(C)CN,-0.48
sample_515,CC(C)(C)N,-0.9
sample_516,CCC(C)(C)N,-0.7
sample_517,CC(C)C(C)N,-0.71
sample_518,C#CCN,-0.83
sample_519,C#CCNC,-0.98
sample_520,C#CCN(C)C,-1.15
sample_521,COCCCN,-1.77
sample_522,COCC(C)N,-0.83
sample_523,CCC(=O)O,-0.51
sample_524,CCCC(=O)O,-0.57
sample_525,CCCCCCC(=O)O,-0.11
sample_526,CCCCCCCC(=O)O,0.08
sample_527,CCCCCCCCC(=O)O,0.35
sample_528,CCCCCCCCCC(=O)O,0.51
sample_529,CCCCCCCCCCC(=O)O,0.9
sample_530,CC(C)C(=O)O,-0.33
sample_531,CC(C)CC(=O)O,-0.34
sample_532,CC(C)(C)C(=O)O,-0.25
sample_533,CCC(C)CC(=O)O,-0.23
sample_534,CCC(CC)C(=O)O,-0.15
sample_535,CCCC(CCC)C(=O)O,0.03
sample_536,C=CCC(=O)O,-0.64
sample_537,CCC=CCC(=O)O,-0.22
sample_538,O=C(O)CC(=O)O,-0.71
sample_539,O=C(O)CCC(=O)O,-0.94
sample_540,O=C(O)CCCC(=O)O,-0.64
sample_541,O=C(O)CCCCCC(=O)O,-0.58
sample_542,O=C(O)CCCCCCCCC(=O)O,-0.27
sample_543,CC=CC(=O)O,-0.54
sample_544,CCC=CC(=O)O,-0.28
sample_545,CCCC=CC(=O)O,-0.13
sample_546,C#CC(=O)O,-0.29
sample_547,CCCCCC#CC(=O)O,-0.06
sample_548,CCCCCCC#CC(=O)O,0.71
sample_549,CCN=C=S,1.63
sample_550,CCCN=C=S,1.69
sample_551,CCCCN=C=S,1.72
sample_552,CCCCCCN=C=S,1.75
sample_553,CC(C)(C)CN=C=S,0.35
sample_554,S=C=NCCCN=C=S,2.72
sample_555,CCCCC(=O)Cl,-0.34
sample_556,CCCCCC(=O)Cl,0.34
sample_557,CCCCCCC(=O)Cl,0.46
sample_558,CCCCCCCC(=O)Cl,0.41
sample_559,CCCC(Br)C(=O)OCC,0.7
sample_560,CCCCC(Br)C(=O)OCC,0.86
sample_561,CCOC(=O)C(C)Br,1.06
sample_562,CCOC(=O)C(Br)CBr,2.21
sample_563,CCOC(=O)C(Br)C(C)Br,1.44
sample_564,CCOC(=O)C(C)Cl,-0.43
sample_565,CCOC(=O)C(Cl)C(=O)OCC,0.63
sample_566,CCOC(=O)C(C)(C)Br,0.15
sample_567,CC(=O)C(Cl)Cl,0.64
sample_568,CC(=O)C(C)Cl,0.27
sample_569,CC(C)(Br)C(=O)C(C)(C)Br,0.51
sample_570,CC(Br)C(=O)C(=O)C(C)Br,2.17
sample_571,BrCC=CCBr,1.92
sample_572,CC(Cl)C#N,-0.86
sample_573,N#CCCl,0.85
sample_574,N#CC(Cl)Cl,0.97
sample_575,O=C(CCl)CCl,2.05
sample_576,N#CC(Cl)(Cl)Cl,1.88
sample_577,N#CCBr,2.23
sample_578,N#CC(Br)Br,2.4
sample_579,C1CSCCS1,-0.11
sample_580,CCOS(=O)OCC,-0.99
sample_581,C=CS(=O)(=O)C=C,1.41
sample_582,C=CS(=O)(=O)CC,0.11
sample_583,Sc1ccccc1,1.66
sample_584,c1ccc2sccc2c1,0.26
sample_585,c1ccc2c(c1)Oc1ccccc1S2,2.04
sample_586,CCCSc1ccccc1,0.86
sample_587,C=CSc1ccccc1,0.42
sample_588,C=CS(=O)c1ccccc1,0.16
sample_589,CCS(=O)(=O)c1ccccc1,-0.79
sample_590,C=CCS(=O)(=O)c1ccccc1,0.31
sample_591,C=CS(=O)(=O)c1ccccc1,1.28
sample_592,CCCCc1ccc(N=C=S)cc1,2.76
sample_593,S=C=Nc1cccc2ccccc12,2.14
sample_594,CC(N=C=S)c1ccccc1,2.71
sample_595,S=C=NC(c1ccccc1)c1ccccc1,3.05
sample_596,S=C=NCCc1ccccc1,2.54
sample_597,S=C=NCc1cccc2ccccc12,3.05
sample_598,O=C(C=Cc1ccccc1)N=C=S,0.29
sample_599,O=Cc1ccc(Br)cc1,0.59
sample_600,Cc1ccc(C=O)cc1,-0.06
sample_601,O=Cc1ccc(F)cc1,-0.13
sample_602,O=Cc1ccc(C=O)cc1,-0.09
sample_603,COc1ccc(C=O)cc1,-0.05
sample_604,CCOc1ccc(C=O)cc1,0.07
sample_605,Cc1ccccc1C=O,0.01
sample_606,O=Cc1cccc(Cl)c1,0.41
sample_607,O=Cc1cccc(Br)c1,0.51
sample_608,O=Cc1cccc(F)c1,0.15
sample_609,COc1ccc(C=O)c(OC)c1,-0.06
sample_610,O=Cc1ccccc1F,0.08
sample_611,CCCCOc1ccc(C=O)cc1,0.72
sample_612,O=Cc1c(Cl)cccc1[N+](=O)[O-],0.16
sample_613,COc1ccc(C=O)c(Cl)c1O,0.2
sample_614,Cc1ccc2ccccc2c1C=O,1.23
sample_615,Cc1ccc(C=O)c2ccccc12,1.12
sample_616,O=Cc1cc2ccccc2c2ccccc12,1.71
sample_617,O=Cc1cccc(O)c1O,0.11
sample_618,O=Cc1cc(O)ccc1O,0.28
sample_619,O=Cc1ccc(O)c(O)c1,0.11
sample_620,O=Cc1cc(O)c(O)c(O)c1,-0.2
sample_621,O=Cc1c(O)cc(O)cc1O,0.13
sample_622,CCOc1cccc(C=O)c1O,0.85
sample_623,COc1cccc(C=O)c1O,0.38
sample_624,COc1cc(O)c(C=O)c(OC)c1,0.62
sample_625,O=Cc1ccc(O)cc1Cl,0.89
sample_626,O=Cc1c(O)ccc2ccccc12,1.32
sample_627,O=Cc1ccc(O)c2ccccc12,1.05
sample_628,O=Cc1ccc(O)c(Br)c1,0.61
sample_629,Oc1c(Br)cc(Br)c(O)c1Br,1.06
sample_630,O=C(c1ccccc1)c1ccc(O)cc1O,1.37
sample_631,Oc1ccccc1O,0.75
sample_632,O=[N+]([O-])c1ccc(O)c(O)c1,1.17
sample_633,Oc1cccc(O)c1O,0.85
sample_634,Oc1ccc(O)c(O)c1,0.44
sample_635,Cc1cc(O)ccc1O,1.86
sample_636,Cc1c(O)ccc(O)c1C,1.41
sample_637,Cc1cc(O)c(C)c(C)c1O,1.34
sample_638,Cc1c(C)c(O)c(C)c(C)c1O,1.28
sample_639,Oc1ccc(O)c(Cl)c1,1.26
sample_640,Oc1ccc(O)c(Br)c1,1.68
sample_641,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,2.11
sample_642,Oc1ccc(O)c(-c2ccccc2)c1,2.01
sample_643,Oc1cc(Cl)c(O)cc1Cl,1.81
sample_644,Oc1c(O)c(Br)c(Br)c(Br)c1Br,0.98
sample_645,CCC(O)Cc1ccccc1,-0.16
sample_646,OCCCCCCc1ccccc1,0.87
sample_647,OCCCCc1ccccc1,0.12
sample_648,CCC(C)(O)c1ccccc1,0.06
sample_649,CCCCCOc1ccc(N)cc1,0.97
sample_650,CCCCCCOc1ccc(N)cc1,1.38
sample_651,CC(C)c1ccc(N)cc1,0.22
sample_652,CCCCc1ccc(N)cc1,1.07
sample_653,BrCCc1ccccc1,0.42
sample_654,Cc1ccccc1N,-0.16
sample_655,Nc1ccccc1,-0.23
sample_656,CSc1ccccc1,0.18
sample_657,Cc1cc(C)c(C)c(O)c1,0.36
sample_658,Cc1cc(C)c(O)c(C)c1,0.42
sample_659,CCC(C)(C)c1ccc(O)cc1,1.23
sample_660,Cc1ccc(C)c(O)c1C,0.28
sample_661,CCOc1ccccc1,-0.14
sample_662,Cc1ccc(O)c(C)c1,0.14
sample_663,C#CC(C)(O)c1ccccc1,-0.18
sample_664,Cc1ccc(O)cc1,-0.16
sample_665,CCCc1ccc(O)cc1,0.64
sample_666,CCCCCCCCCc1ccc(O)cc1,2.47
sample_667,Cc1cccc(O)c1,-0.08
sample_668,Cc1ccccc1C#N,-0.24
sample_669,Nc1ccccc1Cl,-0.17
sample_670,Cc1cc(O)cc(C)c1Cl,1.2
sample_671,CCc1ccc(Br)cc1,0.67
sample_672,Cc1cc(O)ccc1Cl,0.8
sample_673,Oc1ccc(Cl)cc1,0.54
sample_674,Clc1ccccc1,-0.13
sample_675,Cc1ccc([N+](=O)[O-])cc1C,0.59
sample_676,CCOc1cc(C=O)ccc1O,0.02
sample_677,CCC(=O)c1ccc(O)cc1,0.12
sample_678,CCC(=O)c1ccccc1,-0.07
sample_679,O=Cc1ccccc1O,0.42
sample_680,Nc1cc(Cl)ccc1Cl,0.58
sample_681,Cc1ccc(Cl)c(Cl)c1,1.07
sample_682,Clc1ccccc1Cl,0.53
sample_683,COc1cccc([N+](=O)[O-])c1,0.72
sample_684,COc1cc(O)cc(Cl)c1,0.76
sample_685,Oc1ccc(Br)cc1Br,1.4
sample_686,N#Cc1cc(Cl)ccc1N,0.44
sample_687,O=C(c1ccccc1)c1ccc(Cl)cc1,1.5
sample_688,Clc1ccc(Cl)c(Cl)c1,1.08
sample_689,CCOc1ccc(N)c([N+](=O)[O-])c1,0.76
sample_690,O=[N+]([O-])c1cccc(Br)c1,1.03
sample_691,Nc1ccccc1[N+](=O)[O-],0.08
sample_692,O=[N+]([O-])c1cc(F)cc(I)c1,1.09
sample_693,O=[N+]([O-])c1ccccc1O,0.67
sample_694,Nc1ccc([N+](=O)[O-])cc1Cl,0.75
sample_695,O=[N+]([O-])c1ccc(F)cc1,0.1
sample_696,O=[N+]([O-])c1ccccc1Br,0.75
sample_697,O=[N+]([O-])c1ccc(Cl)cc1,0.43
sample_698,Cc1cc(O)c([N+](=O)[O-])cc1Cl,1.63
sample_699,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.07
sample_700,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,2.66
sample_701,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.3
sample_702,Nc1c(Cl)cc(Cl)cc1[N+](=O)[O-],1.26
sample_703,O=[N+]([O-])c1ccc(CO)cc1[N+](=O)[O-],1.09
sample_704,O=[N+]([O-])c1cccc(Cl)c1Cl,1.07
sample_705,O=[N+]([O-])c1ccccc1[N+](=O)[O-],1.25
sample_706,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,1.43
sample_707,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,1.53
sample_708,O=Cc1cc([N+](=O)[O-])ccc1Cl,0.53
sample_709,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,1.82
sample_710,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,1.78
sample_711,Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0.84
sample_712,Nc1c(Cl)cc([N+](=O)[O-])cc1[N+](=O)[O-],1.12
sample_713,Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],1.24
sample_714,CC(O)Cc1ccccc1,-0.62
sample_715,CC(C)c1ccc(CO)cc1,0.18
sample_716,Cc1cccc(CO)c1,-0.24
sample_717,CC(N)c1ccccc1,-0.18
sample_718,CC(C)(O)Cc1ccccc1,-0.41
sample_719,CNCCc1ccccc1,-0.41
sample_720,CC(CN)c1ccccc1,-0.28
sample_721,OCCc1ccccc1,-0.59
sample_722,CCC(CO)c1ccccc1,-0.11
sample_723,Cc1cc(C)cc(N)c1,-0.36
sample_724,N#CCCCc1ccccc1,0.15
sample_725,Cc1cc(C)c(N)c(C)c1,-0.05
sample_726,N#CCCc1ccccc1,-0.16
sample_727,Cc1ccc(C)c(N)c1,-0.33
sample_728,CC(C)c1ccccc1N,0.12
sample_729,Cc1cccc(C)c1N,-0.43
sample_730,CCCc1ccccc1N,0.08
sample_731,CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,1.64
sample_732,C#CCSc1ccccc1,0.54
sample_733,CCOc1ccc(O)cc1,0.01
sample_734,CCCCOc1ccc(O)cc1,0.7
sample_735,c1ccc(-c2ccccn2)cc1,0.27
sample_736,Cc1cc(C)cc(O)c1,0.11
sample_737,Cc1ccc(C)c(O)c1,0.14
sample_738,COc1cc(CO)ccc1O,-0.7
sample_739,Cc1c(N)cccc1O,-0.55
sample_740,Cc1cc(Cl)ccc1N,0.35
sample_741,CC=Cc1ccc(O)c(OC)c1,0.75
sample_742,Nc1cccc(I)c1,0.65
sample_743,Oc1ccc(F)cc1,0.02
sample_744,Nc1ccccc1I,0.35
sample_745,Cc1cc(Cl)ccc1O,0.7
sample_746,OCc1ccccc1Br,0.1
sample_747,Oc1ccccc1F,0.19
sample_748,CN(C)c1ccc(C=O)cc1,0.23
sample_749,Cc1ccc(Cl)cc1N,0.5
sample_750,Cc1ccc(N)cc1Cl,0.39
sample_751,Cc1c(N)cccc1Cl,0.38
sample_752,Cc1ccc(O)c(Br)c1,0.6
sample_753,N#CCc1ccc(Br)cc1,0.6
sample_754,Oc1ccc(Cl)c(O)c1,0.13
sample_755,COc1ccc(C=O)cc1O,-0.14
sample_756,O=Cc1ccc(-c2ccccc2)cc1,1.12
sample_757,C=C(C)C(=O)OCc1ccccc1,0.65
sample_758,CC(=O)Nc1cccc(O)c1,-0.16
sample_759,N#Cc1ccc(C(N)=O)cc1,-0.38
sample_760,O=[N+]([O-])c1ccccc1-c1ccccc1,1.3
sample_761,CCOC(=O)c1ccc(Br)cc1,1.33
sample_762,O=C(Oc1ccccc1)c1ccc(O)cc1,1.37
sample_763,COc1ccc(C(=O)c2ccccc2)c(O)c1,1.42
sample_764,O=C(Oc1cccc(O)c1)c1ccccc1,1.11
sample_765,O=C(c1ccc(Br)cc1)c1cccnc1,0.82
sample_766,CC(=O)c1cccc([N+](=O)[O-])c1,0.32
sample_767,O=Cc1cccc([N+](=O)[O-])c1,0.11
sample_768,O=C1C=C(c2ccccc2)C(=O)C=C1c1ccccc1,1.48
sample_769,COC(=O)c1cc(Cl)ccc1Cl,0.81
sample_770,CC(=O)c1ccc(Cl)c(Cl)c1Cl,1.34
sample_771,O=C(c1ccccc1O)c1ccccc1O,1.16
sample_772,COC(=O)c1ccc([N+](=O)[O-])cc1,0.39
sample_773,O=[N+]([O-])c1ccc(O)c(CCl)c1,0.75
sample_774,COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,0.43
sample_775,O=[N+]([O-])c1c(O)cccc1O,0.66
sample_776,N#Cc1cc(Br)c(O)c(Br)c1,1.16
sample_777,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.82
sample_778,O=[N+]([O-])c1ccccc1F,0.23
sample_779,O=Cc1ccc([N+](=O)[O-])c(O)c1,0.27
sample_780,Nc1cc(F)c(F)cc1[N+](=O)[O-],0.75
sample_781,CCCO,-1.75
sample_782,CC(C)O,-1.88
sample_783,CCCCO,-1.43
sample_784,CC(C)CO,-1.37
sample_785,CCC(C)(C)O,-1.17
sample_786,CC(C)CCO,-1.04
sample_787,CC(C)(C)O,-1.79
sample_788,CC(C)CCCO,-0.64
sample_789,CCCCCCCO,0.11
sample_790,CCCC(CO)CCC,0.13
sample_791,CCCCCCCCCCO,1.34
sample_792,CCCCCCC(O)CCC,0.85
sample_793,CCC(C)(O)CCCC(C)C,0.34
sample_794,CCCCCCCCCCCCCO,2.45
sample_795,CCC(O)CO,-2.05
sample_796,CC(O)CCO,-2.3
sample_797,OCCCCO,-2.24
sample_798,CC(C)(O)C#CC(C)(C)O,-1.58
sample_799,C#CC(C)(O)CC(C)C,-0.55
sample_800,C#CCCO,-1.84
sample_801,CC#CCCO,-1.18
sample_802,C#CCC(C)O,-1.63
sample_803,C#CCC(O)CC,-1.4
sample_804,CCC#CCC(C)O,-0.62
sample_805,CCCCC#CCCO,0.02
sample_806,CCC#CCC(O)CC,-0.38
sample_807,CCCCCC#CCCO,0.34
sample_808,CCCCCCCCCCC#CCCO,2.38
sample_809,CC=CCO,-1.47
sample_810,CCCCC=CCO,0.05
sample_811,CCCCCC=CCO,0.37
sample_812,CCCCCCCC=CCO,1.13
sample_813,CCOC(C)=O,-1.3
sample_814,CCCCOC(C)=O,-0.49
sample_815,CCCCCCOC(C)=O,-0.01
sample_816,CCCCCCCCCCOC(C)=O,1.88
sample_817,CCOC(=O)CC,-0.95
sample_818,CCOC(=O)C(C)C,-1.27
sample_819,CCCCC(=O)OCCC,0.01
sample_820,CCCOC=O,-1.02
sample_821,CC(C)COC=O,-1.31
sample_822,CCCCCCOC=O,-0.38
sample_823,C=CCOC(=O)CCC,-0.64
sample_824,C=CCOC(=O)CCCCC,0.21
sample_825,C#CCOC(C)=O,-1.17
sample_826,CC=CCC(=O)OC,-0.28
sample_827,CC(C)=O,-2.2
sample_828,CCC(C)=O,-1.75
sample_829,CCCC(C)=O,-1.22
sample_830,CCC(=O)CC,-1.46
sample_831,CCCCC(C)=O,-1.34
