,SMILES,pIGC50_class
sample_1,c1ccccc1,negative
sample_2,Cc1ccc(C)cc1,positive
sample_3,Cc1ccccc1,positive
sample_4,CCCCc1ccccc1,positive
sample_5,CCCCCc1ccccc1,positive
sample_6,NCc1ccccc1,negative
sample_7,CC(C)c1ccccc1,positive
sample_8,OCCCCCc1ccccc1,positive
sample_9,CC(C)(O)CCc1ccccc1,negative
sample_10,OCCCc1ccccc1,negative
sample_11,OCc1ccccc1,negative
sample_12,CC(O)c1ccccc1,negative
sample_13,CCc1ccc(CO)cc1,negative
sample_14,CCCC(O)c1ccccc1,negative
sample_15,OCc1ccc(-c2ccccc2)cc1,positive
sample_16,CCc1ccc(-c2ccccc2)cc1,positive
sample_17,c1ccc(-c2ccccc2)cc1,positive
sample_18,CC(O)(Cc1ccccc1)c1ccccc1,positive
sample_19,CC(O)C(c1ccccc1)c1ccccc1,positive
sample_20,Cc1ccc(N)cc1C,negative
sample_21,Nc1cccc(CO)c1,negative
sample_22,CCCCOc1ccc(N)cc1,positive
sample_23,Cc1ccc(N)cc1,negative
sample_24,CCc1cccc(N)c1,negative
sample_25,CCc1ccc(N)cc1,negative
sample_26,Cc1cccc(N)c1,negative
sample_27,CC(C)c1cccc(C(C)C)c1N,positive
sample_28,CCc1ccccc1N,negative
sample_29,CCc1cccc(CC)c1N,positive
sample_30,COc1ccc(O)cc1,negative
sample_31,Cc1cc(O)cc(C)c1C,positive
sample_32,ClCc1ccccc1,negative
sample_33,COc1ccc(C)cc1,positive
sample_34,CC(C)(C)c1ccc(O)cc1,positive
sample_35,COc1ccccc1,negative
sample_36,CCc1ccc(O)cc1,negative
sample_37,CCc1cccc(O)c1,positive
sample_38,Cc1ccccc1O,negative
sample_39,CCc1ccccc1O,negative
sample_40,Oc1ccccc1,negative
sample_41,C=CCc1ccccc1O,positive
sample_42,Ic1ccccc1,positive
sample_43,Nc1ccc(Cl)cc1,negative
sample_44,OCCc1ccc(O)cc1,negative
sample_45,Cc1ccc(N)c(Cl)c1,negative
sample_46,CCCCCc1cc(O)cc(O)c1,positive
sample_47,COc1cccc(O)c1,negative
sample_48,CCCCCCc1ccc(O)cc1O,positive
sample_49,Cc1ccc(Br)cc1,positive
sample_50,COc1ccc(Cl)cc1,positive
sample_51,Oc1cccc(O)c1,negative
sample_52,Brc1ccccc1,negative
sample_53,Oc1ccc(I)cc1,positive
sample_54,NCCc1ccc(Cl)cc1,negative
sample_55,NCc1ccc(Cl)cc1,negative
sample_56,Nc1ccc(Cl)cc1Cl,positive
sample_57,Nc1cccc(Cl)c1,negative
sample_58,CCCCCOc1ccc(C=O)cc1,positive
sample_59,Cc1ccc([N+](=O)[O-])cc1,positive
sample_60,CC(C)c1ccc(C=O)cc1,positive
sample_61,Cc1cccc([N+](=O)[O-])c1C,positive
sample_62,Oc1cccc(Cl)c1,positive
sample_63,Cc1cccc([N+](=O)[O-])c1,positive
sample_64,Cc1ccccc1[N+](=O)[O-],positive
sample_65,Brc1ccc(Br)cc1,positive
sample_66,O=Cc1ccccc1,negative
sample_67,COc1cc(C=O)ccc1O,negative
sample_68,Oc1ccc(Cl)cc1Cl,positive
sample_69,CCCCC(=O)c1ccccc1,positive
sample_70,CCCC(=O)c1ccccc1,negative
sample_71,CCCCCCC(=O)c1ccccc1,positive
sample_72,CC(=O)c1ccccc1,negative
sample_73,O=[N+]([O-])c1ccccc1,negative
sample_74,CCCCCCCC(=O)c1ccccc1,positive
sample_75,Nc1cccc([N+](=O)[O-])c1,negative
sample_76,Nc1cc(Cl)cc(Cl)c1,positive
sample_77,Cc1cc(Br)cc(Cl)c1O,positive
sample_78,O=C(c1ccccc1)c1ccccc1,positive
sample_79,O=[N+]([O-])c1ccc(CCl)cc1,positive
sample_80,COc1ccc(C(C)=O)c(O)c1,positive
sample_81,Oc1cc(Cl)cc(Cl)c1,positive
sample_82,O=Cc1ccc(Cl)cc1,positive
sample_83,Clc1cc(Cl)cc(Cl)c1,positive
sample_84,Nc1cc(Cl)c(Cl)cc1Cl,positive
sample_85,O=C(c1ccccc1)c1ccc(Br)cc1,positive
sample_86,Oc1c(Cl)cc(Cl)cc1Cl,positive
sample_87,COc1cc(C=O)cc(Br)c1O,positive
sample_88,CCOc1ccc([N+](=O)[O-])cc1,positive
sample_89,Cc1ccc(Cl)cc1[N+](=O)[O-],positive
sample_90,Oc1c(Cl)cc(Br)cc1Cl,positive
sample_91,Cc1c(Cl)cccc1[N+](=O)[O-],positive
sample_92,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,positive
sample_93,N#Cc1cccc([N+](=O)[O-])c1,positive
sample_94,Oc1cc(Cl)c(Cl)cc1Cl,positive
sample_95,Clc1cc(Cl)c(Cl)cc1Cl,positive
sample_96,O=[N+]([O-])c1cccc(Cl)c1,positive
sample_97,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,positive
sample_98,Oc1c(Br)cc(Br)cc1Br,positive
sample_99,Cc1cc([N+](=O)[O-])ccc1Br,positive
sample_100,O=Cc1cc(O)ccc1[N+](=O)[O-],positive
sample_101,Cc1c(O)c(Br)c(Br)c(Br)c1Br,positive
sample_102,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,positive
sample_103,Nc1c(F)c(F)c(F)c(F)c1F,positive
sample_104,O=Cc1cc(Br)cc(Br)c1O,positive
sample_105,O=[N+]([O-])c1cc(Cl)cc(Cl)c1,positive
sample_106,O=[N+]([O-])c1cc(O)ccc1Cl,positive
sample_107,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,positive
sample_108,NC(=S)c1ccccc1,negative
sample_109,Nc1ccc(F)c(C(F)(F)F)c1,positive
sample_110,O=[N+]([O-])c1ccccc1Cl,positive
sample_111,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,positive
sample_112,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_113,Nc1cc(Cl)c(Cl)cc1[N+](=O)[O-],positive
sample_114,Oc1c(F)c(F)c(F)c(F)c1F,positive
sample_115,O=[N+]([O-])c1ccc(F)c(Cl)c1,positive
sample_116,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,positive
sample_117,O=[N+]([O-])c1cc(Cl)ccc1Cl,positive
sample_118,O=[N+]([O-])c1ccc(Cl)cc1Cl,positive
sample_119,S=C=Nc1ccccc1,positive
sample_120,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,positive
sample_121,O=[N+]([O-])c1cc(I)c(O)c(I)c1,positive
sample_122,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,positive
sample_123,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,positive
sample_124,O=Cc1c(F)c(F)c(F)c(F)c1F,positive
sample_125,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1,positive
sample_126,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_127,O=[N+]([O-])c1ccc(F)c(F)c1F,positive
sample_128,O=[N+]([O-])c1cc(Cl)c(Cl)cc1[N+](=O)[O-],positive
sample_129,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,positive
sample_130,CC(C)(C)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,positive
sample_131,O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,positive
sample_132,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,positive
sample_133,O=[N+]([O-])c1cc(Cl)cc(Cl)c1[N+](=O)[O-],positive
sample_134,O=[N+]([O-])c1c(F)cc(F)c(F)c1F,positive
sample_135,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,positive
sample_136,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,positive
sample_137,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,positive
sample_138,O=[N+]([O-])c1c(F)c(F)c(F)c(F)c1F,positive
sample_139,O=[N+]([O-])c1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,positive
sample_140,O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,positive
sample_141,O=[N+]([O-])c1cc(Cl)c(Cl)c([N+](=O)[O-])c1Cl,positive
sample_142,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,positive
sample_143,N#Cc1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,positive
sample_144,Cc1ccc(CO)cc1,negative
sample_145,CCCC(O)Cc1ccccc1,negative
sample_146,Cc1ccc(CCN)cc1,negative
sample_147,Cc1ccc(CN)cc1,negative
sample_148,OCC=Cc1ccccc1,negative
sample_149,CC(C)(C)c1ccc(CO)cc1,positive
sample_150,Cc1ccc(CCO)cc1,negative
sample_151,Cc1ccccc1CO,negative
sample_152,CCC(O)c1ccccc1,negative
sample_153,CC(CO)c1ccccc1,negative
sample_154,CC(C)(O)c1ccccc1,negative
sample_155,OC(c1ccccc1)c1ccccc1,positive
sample_156,ON=Cc1ccccc1,negative
sample_157,CC(C)(C)c1ccc(N)cc1,positive
sample_158,Cc1ccc(N)c(C)c1,negative
sample_159,CCC(C)c1ccc(N)cc1,positive
sample_160,Cc1cccc(N)c1C,negative
sample_161,N#CCc1ccccc1,negative
sample_162,CC(C#N)c1ccccc1,negative
sample_163,CCNc1ccccc1,negative
sample_164,CNc1ccccc1,negative
sample_165,CC(C)(C)c1ccc(O)c(N)c1,positive
sample_166,COc1ccccc1N,negative
sample_167,c1ccc(-c2cccnc2)cc1,positive
sample_168,Nc1ccccc1CO,negative
sample_169,c1ccc(Cc2ccccn2)cc1,positive
sample_170,c1ccc(Cc2ccncc2)cc1,positive
sample_171,Cc1ccc(O)cc1C,negative
sample_172,CC(C)(C)c1cccc(O)c1,positive
sample_173,Cc1cc(C)c(O)c(C(C)(C)C)c1,positive
sample_174,CC(C)c1ccc(O)cc1,positive
sample_175,CC(C)c1cccc(O)c1,positive
sample_176,Cc1cccc(O)c1C,negative
sample_177,CC(C)c1ccccc1O,positive
sample_178,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,negative
sample_179,Nc1ccccc1F,negative
sample_180,N#CCc1ccc(N)cc1,negative
sample_181,N#CC=Cc1ccccc1,negative
sample_182,OCc1cccc(F)c1,negative
sample_183,N#Cc1cccc(N)c1,negative
sample_184,Nc1cccc(F)c1,negative
sample_185,CCc1cc(O)ccc1Cl,positive
sample_186,Cc1cc(O)c(Cl)cc1C,positive
sample_187,COc1cc(O)cc(OC)c1,negative
sample_188,N#CCc1ccc(O)cc1,negative
sample_189,Cc1cc(Br)cc(C)c1O,positive
sample_190,Cc1ccc(Cl)c(O)c1,positive
sample_191,Oc1ccc(Br)cc1,positive
sample_192,OCCc1ccc(Cl)cc1,positive
sample_193,OCc1ccc(Cl)cc1,positive
sample_194,Cc1cc(C)c([N+](=O)[O-])c(C)c1,positive
sample_195,OCc1cccc(Cl)c1,negative
sample_196,Oc1ccccc1Br,positive
sample_197,COc1cc(C#N)ccc1O,negative
sample_198,O=[N+]([O-])c1cccc(CO)c1,negative
sample_199,COc1ccc(C#N)cc1,negative
sample_200,CC(=O)c1cc(C)c(C)cc1O,positive
sample_201,COc1ccccc1C=O,negative
sample_202,CNc1ccc(C(=O)OC)cc1,positive
sample_203,O=Cc1ccc(Oc2ccccc2)cc1,positive
sample_204,COc1cc(OC)c(OC)cc1C=O,negative
sample_205,Nc1ccc(C(=O)c2ccccc2)cc1,positive
sample_206,CCCOC(=O)C=Cc1ccccc1,positive
sample_207,CCOC(=O)C=Cc1ccccc1,positive
sample_208,CCCCCC(=O)c1ccccc1,positive
sample_209,CCCCOC(=O)C=Cc1ccccc1,positive
sample_210,N#CCc1ccc(Cl)cc1,positive
sample_211,COC(=O)C=Cc1ccccc1,positive
sample_212,CCOC(=O)c1ccc(OC)cc1,positive
sample_213,NNC(=O)Cc1ccccc1,negative
sample_214,Oc1c(Cl)cccc1Cl,positive
sample_215,CC(C)CCOC(=O)c1ccc(O)cc1,positive
sample_216,O=C(Cc1ccccc1)c1ccc(O)cc1,positive
sample_217,O=C(OCc1ccccc1)c1ccccc1,positive
sample_218,O=C(c1ccccc1)c1ccc(O)cc1,positive
sample_219,Cc1ccc([N+](=O)[O-])cc1O,positive
sample_220,NC(=O)c1cc(Cl)ccc1O,positive
sample_221,O=[N+]([O-])c1cccc(O)c1,positive
sample_222,O=Cc1cccc(C=O)c1,negative
sample_223,CC(=O)c1ccc(O)cc1O,positive
sample_224,O=C(c1ccccc1)c1cccc(Cl)c1,positive
sample_225,O=C(Oc1ccccc1)c1ccccc1,positive
sample_226,N#CC(C#N)=Cc1ccccc1,positive
sample_227,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,positive
sample_228,CCOC(=O)C(C#N)c1ccccc1,negative
sample_229,COc1ccccc1[N+](=O)[O-],negative
sample_230,Cc1cccc(O)c1[N+](=O)[O-],positive
sample_231,NC(=O)c1ccccc1[N+](=O)[O-],negative
sample_232,O=Cc1ccccc1[N+](=O)[O-],negative
sample_233,Cc1ccc(O)c([N+](=O)[O-])c1,positive
sample_234,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,positive
sample_235,O=Cc1ccc([N+](=O)[O-])cc1,negative
sample_236,Cc1ccc([N+](=O)[O-])c(O)c1,positive
sample_237,O=Cc1cc(Cl)cc(Cl)c1O,positive
sample_238,O=[N+]([O-])c1cccnc1SCc1ccccc1,positive
sample_239,CCOC(=O)c1ccc([N+](=O)[O-])cc1,positive
sample_240,O=Cc1ccc(Cl)cc1Cl,positive
sample_241,Oc1ccc(C(F)(F)F)cc1,positive
sample_242,CC(=S)Nc1ccccc1,negative
sample_243,OCc1c(F)c(F)c(F)c(F)c1F,negative
sample_244,Nc1ccc(F)cc1C(F)(F)F,negative
sample_245,O=[N+]([O-])c1cc(Br)ccc1Br,positive
sample_246,N#CC(=O)c1ccccc1,positive
sample_247,O=[N+]([O-])c1cc(F)ccc1F,positive
sample_248,Nc1c(Br)cc(Br)cc1[N+](=O)[O-],positive
sample_249,O=Cc1ccc(O)c([N+](=O)[O-])c1,positive
sample_250,O=C(N=C=S)c1ccccc1,negative
sample_251,CO,negative
sample_252,CCO,negative
sample_253,CCC(C)O,negative
sample_254,CCCCCO,negative
sample_255,CCCC(C)O,negative
sample_256,CCC(O)CC,negative
sample_257,CC(C)C(C)O,negative
sample_258,CCC(C)CO,negative
sample_259,CC(C)(C)CO,negative
sample_260,CCCCOCCO,negative
sample_261,CCCCCCO,negative
sample_262,CC(C)(C)CCO,negative
sample_263,CC(C)C(O)C(C)C,negative
sample_264,CCCCCCCCO,positive
sample_265,CCCCCCC(C)O,negative
sample_266,CCCCCC(O)CC,negative
sample_267,CCCCC(CC)CO,negative
sample_268,CCCCCCCCCO,positive
sample_269,CCCCCCCC(C)O,positive
sample_270,CCC(O)(CC)C(C)(C)C,negative
sample_271,CCCCCCCCCCCO,positive
sample_272,CCCCCCCCCCCCO,positive
sample_273,OC1CCCCC1,negative
sample_274,CCCC(O)CO,negative
sample_275,OCCCCCO,negative
sample_276,CC(O)CC(C)(C)O,negative
sample_277,CCCCC(O)CO,negative
sample_278,OCCCCCCO,negative
sample_279,CC(O)CCC(C)O,negative
sample_280,CCCCCCCCC(O)CO,positive
sample_281,OCCCCCCCCCCO,negative
sample_282,C=CCCO,negative
sample_283,C=C(C)CCO,negative
sample_284,C=CC(C)(C)O,negative
sample_285,C=CCCCO,negative
sample_286,C=CCC(C)O,negative
sample_287,C#CCCCO,negative
sample_288,C#CC(C)(C)O,negative
sample_289,CCC=CCCO,negative
sample_290,C#CCCCCO,negative
sample_291,C#CC(C)(O)CC,negative
sample_292,CC#CC(C)(O)CCC,negative
sample_293,CC=CCCCO,negative
sample_294,C=CCCCCO,negative
sample_295,CCC#CCCO,negative
sample_296,CCCC#CCCO,negative
sample_297,CCCC#CCC(O)CC,negative
sample_298,CCCCCCC#CCCO,positive
sample_299,C=CCO,negative
sample_300,C=C(C)CO,negative
sample_301,C=CC(C)O,negative
sample_302,OCC=CCO,negative
sample_303,CC(C)=CCO,negative
sample_304,CCC=CCO,negative
sample_305,CC=CC(C)O,negative
sample_306,C=CC(O)CC,negative
sample_307,C=CC(O)CCC,negative
sample_308,CCCCCCC=CCO,positive
sample_309,CCCCCCCCC=CCO,positive
sample_310,CCCCCCCCCC=CCO,positive
sample_311,COC(C)=O,negative
sample_312,CCCOC(C)=O,negative
sample_313,CC(=O)OC(C)C,negative
sample_314,CCC(C)OC(C)=O,negative
sample_315,CCCCCOC(C)=O,negative
sample_316,CCC(CC)COC(C)=O,negative
sample_317,CCCCCCCCOC(C)=O,positive
sample_318,CCCCOC(=O)CC,negative
sample_319,CCC(=O)OCC(C)C,negative
sample_320,CCCOC(=O)CC,negative
sample_321,CCC(=O)OC(C)(C)C,negative
sample_322,CCCC(=O)OCC,negative
sample_323,CCOC(=O)C(C)CC,negative
sample_324,CCCCC(=O)OCC,negative
sample_325,CCOC(=O)CC(C)C,negative
sample_326,CCCOC(=O)CCC,negative
sample_327,CCCCOC(=O)CCC,positive
sample_328,CCCCCOC(=O)CC,negative
sample_329,CC(C)COC(=O)C(C)C,negative
sample_330,CCCCCC(=O)OCC,negative
sample_331,CCC(=O)OC,negative
sample_332,CCCC(=O)OC,negative
sample_333,CCCCC(=O)OC,negative
sample_334,CCC(C)C(=O)OC,negative
sample_335,CCCCCC(=O)OC,negative
sample_336,CCCCCCC(=O)OC,negative
sample_337,CCCCCCCC(=O)OC,positive
sample_338,CCCCCCCCC(=O)OC,positive
sample_339,CCCCCCCCCC(=O)OC,positive
sample_340,CCCCCCCCCCC(=O)OC,positive
sample_341,COC=O,negative
sample_342,CCCCOC=O,negative
sample_343,CC(C)(C)OC=O,negative
sample_344,CCCCCOC=O,negative
sample_345,C=CCOC(=O)CC,negative
sample_346,C=CCOC(=O)CCCCCC,positive
sample_347,C=C(C)OC(C)=O,negative
sample_348,C=COC(C)=O,negative
sample_349,C=COC(=O)C(CC)CCCC,positive
sample_350,C#CCOC(=O)CC,negative
sample_351,C=COC(=O)CC,negative
sample_352,C=COC(=O)CCC,negative
sample_353,CC#CCOC(C)=O,negative
sample_354,CC(=O)C(C)C,negative
sample_355,CC(=O)CC(C)C,negative
sample_356,O=C1CCCCC1,negative
sample_357,CC(=O)C(C)(C)C,negative
sample_358,CCCCCC(C)=O,negative
sample_359,CCCC(=O)CCC,negative
sample_360,CCCCCCC(C)=O,negative
sample_361,CCCCC(=O)CCCC,negative
sample_362,CCCCCCCCC(C)=O,positive
sample_363,CCCCCCCC(=O)CC,positive
sample_364,CCCCCCCCCC(C)=O,positive
sample_365,CCCCCCCCCCC(C)=O,positive
sample_366,CCCCCCC(=O)CCCCCC,positive
sample_367,C=CCCC(C)=O,negative
sample_368,C=C(C)CCC(C)=O,negative
sample_369,CC(=O)CCC=C(C)C,negative
sample_370,CCC#N,negative
sample_371,CCCC#N,negative
sample_372,CCCCC#N,negative
sample_373,CC(C)CC#N,negative
sample_374,CCCCCC#N,negative
sample_375,CC(C)CCC#N,negative
sample_376,CCCCCCCCC#N,positive
sample_377,CCCCCCCCCCC#N,positive
sample_378,CCCCBr,negative
sample_379,CCCCCBr,positive
sample_380,CCCCCCCCBr,positive
sample_381,CCCCC(Br)CBr,positive
sample_382,BrCCCCCCBr,positive
sample_383,CCC(Br)C(Br)CC,positive
sample_384,CCCSCCC,negative
sample_385,CCCCSCCCC,positive
sample_386,CCCCCCCS,positive
sample_387,SC1CCCCC1,negative
sample_388,CS(C)=O,negative
sample_389,CCCCS(=O)CCCC,negative
sample_390,CCCOS(=O)OCCC,negative
sample_391,CCOS(=O)(=O)OCC,negative
sample_392,CCCCOS(=O)(=O)OCCCC,positive
sample_393,CC(C)=NO,negative
sample_394,CCCCCC(C)=NO,negative
sample_395,COC(N)=O,negative
sample_396,CCOC(N)=O,negative
sample_397,CCCCOC(N)=O,negative
sample_398,CCOC(=O)CCCCCCCCC(=O)OCC,positive
sample_399,CCOC(=O)CCCCCCC(=O)OCC,positive
sample_400,CCOC(=O)CCC(=O)OCC,negative
sample_401,COC(=O)CC(=O)OC,negative
sample_402,CCCCOC(=O)CCCCC(=O)OCCCC,positive
sample_403,COC(=O)CCCCCCCCCCCC(=O)OC,positive
sample_404,COC(=O)CCCCCCC(=O)OC,positive
